date,year,month,day,supply
8/13/2005,2005,8,13,21057
8/14/2005,2005,8,14,20779
8/15/2005,2005,8,15,20837
8/16/2005,2005,8,16,19486
8/17/2005,2005,8,17,18809
8/18/2005,2005,8,18,18778
8/19/2005,2005,8,19,18585
8/20/2005,2005,8,20,19625
8/21/2005,2005,8,21,20473
8/22/2005,2005,8,22,19375
8/23/2005,2005,8,23,18639
8/24/2005,2005,8,24,18280
8/25/2005,2005,8,25,17866
8/26/2005,2005,8,26,17989
8/27/2005,2005,8,27,18716
8/28/2005,2005,8,28,19529
8/29/2005,2005,8,29,20041
8/30/2005,2005,8,30,18896
8/31/2005,2005,8,31,17914
9/1/2005,2005,9,1,17783
9/2/2005,2005,9,2,18052
9/3/2005,2005,9,3,18586
9/4/2005,2005,9,4,18335
9/5/2005,2005,9,5,17328
9/6/2005,2005,9,6,16159
9/7/2005,2005,9,7,15387
9/8/2005,2005,9,8,15759
9/9/2005,2005,9,9,16242
9/10/2005,2005,9,10,18601
9/11/2005,2005,9,11,19292
9/12/2005,2005,9,12,19745
9/13/2005,2005,9,13,19322
9/14/2005,2005,9,14,17666
9/15/2005,2005,9,15,15877
9/16/2005,2005,9,16,14836
9/17/2005,2005,9,17,14878
9/18/2005,2005,9,18,15361
9/19/2005,2005,9,19,15156
9/20/2005,2005,9,20,13346
9/21/2005,2005,9,21,12556
9/22/2005,2005,9,22,12126
9/23/2005,2005,9,23,11943
9/24/2005,2005,9,24,12976
9/25/2005,2005,9,25,12778
9/26/2005,2005,9,26,12411
9/27/2005,2005,9,27,11320
9/28/2005,2005,9,28,10194
9/29/2005,2005,9,29,11151
9/30/2005,2005,9,30,13004
10/1/2005,2005,10,1,16593
10/2/2005,2005,10,2,16676
10/3/2005,2005,10,3,17582
10/4/2005,2005,10,4,19589
10/5/2005,2005,10,5,19008
10/6/2005,2005,10,6,18173
10/7/2005,2005,10,7,18091
10/8/2005,2005,10,8,18989
10/9/2005,2005,10,9,19588
10/10/2005,2005,10,10,19904
10/11/2005,2005,10,11,18875
10/12/2005,2005,10,12,18870
10/13/2005,2005,10,13,19113
10/14/2005,2005,10,14,19429
10/15/2005,2005,10,15,21454
10/16/2005,2005,10,16,21360
10/17/2005,2005,10,17,22274
10/18/2005,2005,10,18,21975
10/19/2005,2005,10,19,21780
10/20/2005,2005,10,20,21842
10/21/2005,2005,10,21,22768
10/22/2005,2005,10,22,24697
10/23/2005,2005,10,23,25085
10/24/2005,2005,10,24,25055
10/25/2005,2005,10,25,24017
10/26/2005,2005,10,26,23675
10/27/2005,2005,10,27,22205
10/28/2005,2005,10,28,22905
10/29/2005,2005,10,29,25235
10/30/2005,2005,10,30,26297
10/31/2005,2005,10,31,26822
11/1/2005,2005,11,1,26356
11/2/2005,2005,11,2,26709
11/3/2005,2005,11,3,25936
11/4/2005,2005,11,4,26466
11/5/2005,2005,11,5,27492
11/6/2005,2005,11,6,27792
11/7/2005,2005,11,7,26520
11/8/2005,2005,11,8,25304
11/9/2005,2005,11,9,24427
11/10/2005,2005,11,10,23029
11/11/2005,2005,11,11,22559
11/12/2005,2005,11,12,24245
11/13/2005,2005,11,13,24530
11/14/2005,2005,11,14,22767
11/15/2005,2005,11,15,21616
11/16/2005,2005,11,16,22274
11/17/2005,2005,11,17,21697
11/18/2005,2005,11,18,21466
11/19/2005,2005,11,19,22277
11/20/2005,2005,11,20,24075
11/21/2005,2005,11,21,24036
11/22/2005,2005,11,22,22448
11/23/2005,2005,11,23,21929
11/24/2005,2005,11,24,22899
11/25/2005,2005,11,25,23412
11/26/2005,2005,11,26,24933
11/27/2005,2005,11,27,24926
11/28/2005,2005,11,28,26096
11/29/2005,2005,11,29,26338
11/30/2005,2005,11,30,26959
12/1/2005,2005,12,1,26880
12/2/2005,2005,12,2,26871
12/3/2005,2005,12,3,28512
12/4/2005,2005,12,4,28766
12/5/2005,2005,12,5,27397
12/6/2005,2005,12,6,25671
12/7/2005,2005,12,7,24117
12/8/2005,2005,12,8,23120
12/9/2005,2005,12,9,22303
12/10/2005,2005,12,10,23278
12/11/2005,2005,12,11,23616
12/12/2005,2005,12,12,23718
12/13/2005,2005,12,13,22152
12/14/2005,2005,12,14,21565
12/15/2005,2005,12,15,21532
12/16/2005,2005,12,16,22002
12/17/2005,2005,12,17,23079
12/18/2005,2005,12,18,23922
12/19/2005,2005,12,19,23488
12/20/2005,2005,12,20,22802
12/21/2005,2005,12,21,22126
12/22/2005,2005,12,22,21572
12/23/2005,2005,12,23,21521
12/24/2005,2005,12,24,23458
12/25/2005,2005,12,25,23539
12/26/2005,2005,12,26,23105
12/27/2005,2005,12,27,22158
12/28/2005,2005,12,28,22847
12/29/2005,2005,12,29,23275
12/30/2005,2005,12,30,22189
12/31/2005,2005,12,31,23315
1/1/2006,2006,1,1,26062
1/2/2006,2006,1,2,24630
1/3/2006,2006,1,3,22738
1/4/2006,2006,1,4,21094
1/5/2006,2006,1,5,19602
1/6/2006,2006,1,6,17562
1/7/2006,2006,1,7,17423
1/8/2006,2006,1,8,17324
1/9/2006,2006,1,9,16957
1/10/2006,2006,1,10,16363
1/11/2006,2006,1,11,16134
1/12/2006,2006,1,12,16274
1/13/2006,2006,1,13,15676
1/14/2006,2006,1,14,16294
1/15/2006,2006,1,15,15664
1/16/2006,2006,1,16,16033
1/17/2006,2006,1,17,16403
1/18/2006,2006,1,18,15528
1/19/2006,2006,1,19,15484
1/20/2006,2006,1,20,16280
1/21/2006,2006,1,21,16266
1/22/2006,2006,1,22,15787
1/23/2006,2006,1,23,16981
1/24/2006,2006,1,24,17203
1/25/2006,2006,1,25,16021
