year,sex,location,source,count
2005,Women,Highschool,Jeonnam,11794
2005,Women,Highschool,Gyeongnam,2248
2005,Women,Highschool,Jeju,1286
2005,Women,Highschool,Outside of Korean Red Cross,0
2005,Women,University,Korean Red Cross,25677
2005,Women,University,Central Seoul,2909
2005,Women,University,Western Seoul,278
2005,Women,University,Southern Seoul,1117
2005,Women,University,Eastern Seoul,2377
2005,Women,University,Busan,1355
2005,Women,University,DaeguGyeongbuk,3537
2005,Women,University,Incheon,402
2005,Women,University,Ulsan,320
2005,Women,University,Gyeonggi,1435
2005,Women,University,Gangwon,381
2005,Women,University,Chungbuk,2239
2005,Women,University,DaejeonChungnam,2119
2005,Women,University,Jeonbuk,2293
2005,Women,University,Jeonnam,2958
2005,Women,University,Gyeongnam,1179
2005,Women,University,Jeju,778
2005,Women,University,Outside of Korean Red Cross,0
2005,Women,Military Base,Korean Red Cross,759
2005,Women,Military Base,Central Seoul,123
2005,Women,Military Base,Western Seoul,31
2005,Women,Military Base,Southern Seoul,121
2005,Women,Military Base,Eastern Seoul,64
2005,Women,Military Base,Busan,22
2005,Women,Military Base,DaeguGyeongbuk,59
2005,Women,Military Base,Incheon,36
2005,Women,Military Base,Ulsan,0
2005,Women,Military Base,Gyeonggi,39
2005,Women,Military Base,Gangwon,47
2005,Women,Military Base,Chungbuk,15
2005,Women,Military Base,DaejeonChungnam,75
2005,Women,Military Base,Jeonbuk,19
2005,Women,Military Base,Jeonnam,51
2005,Women,Military Base,Gyeongnam,51
2005,Women,Military Base,Jeju,6
2005,Women,Military Base,Outside of Korean Red Cross,0
2005,Women,Religion,Korean Red Cross,7396
2005,Women,Religion,Central Seoul,1030
2005,Women,Religion,Western Seoul,659
2005,Women,Religion,Southern Seoul,932
2005,Women,Religion,Eastern Seoul,1158
2005,Women,Religion,Busan,361
2005,Women,Religion,DaeguGyeongbuk,506
2005,Women,Religion,Incheon,526
2005,Women,Religion,Ulsan,155
2005,Women,Religion,Gyeonggi,185
2005,Women,Religion,Gangwon,133
2005,Women,Religion,Chungbuk,103
2005,Women,Religion,DaejeonChungnam,219
2005,Women,Religion,Jeonbuk,230
2005,Women,Religion,Jeonnam,838
2005,Women,Religion,Gyeongnam,267
2005,Women,Religion,Jeju,94
2005,Women,Religion,Outside of Korean Red Cross,0
2005,Women,Community,Korean Red Cross,21340
2005,Women,Community,Central Seoul,2728
