year,source,sex,total,whole_blood_donation,whole_blood_donation_320ml,whole_blood_donation_400ml,apheresis_donation,apheresis_donation_plasma,apheresis_donation_platelets,apheresis_donation_multiapheresis,apheresis_donation_other
2010,Central Seoul,Women,78859,63109,60584,2525,15750,14674,1076,,
2010,Western Seoul,Men,65259,45179,7208,37971,20080,10095,9985,,
2010,Western Seoul,Women,24475,18605,18342,263,5870,5377,493,,
2010,Southern Seoul,Men,161920,128090,15583,112507,33830,21577,12253,,
2010,Southern Seoul,Women,58292,49436,44402,5034,8856,8445,411,,
2010,Eastern Seoul,Men,162081,126431,31279,95152,35650,26034,9616,,
2010,Eastern Seoul,Women,86866,76003,74280,1723,10863,10531,332,,
2010,Busan,Men,167419,135792,22466,113326,31627,26140,5487,,
2010,Busan,Women,65975,48551,48551,0,17424,17369,55,,
2010,DaeguGyeongbuk,Men,146567,126149,25670,100479,20418,15026,5392,,
2010,DaeguGyeongbuk,Women,66702,61842,61154,688,4860,4568,292,,
2010,Incheon,Men,102831,71378,15750,55628,31453,26019,5434,,
2010,Incheon,Women,51417,41280,38581,2699,10137,9977,160,,
2010,Ulsan,Men,55041,43683,10735,32948,11358,9431,1927,,
2010,Ulsan,Women,19237,16561,16340,221,2676,2657,19,,
2010,Gyeonggi,Men,123615,100601,22419,78182,23014,16428,6586,,
2010,Gyeonggi,Women,47664,43013,41397,1616,4651,4520,131,,
2010,Gangwon,Men,66394,52958,6852,46106,13436,12995,441,,
2010,Gangwon,Women,17238,15024,12891,2133,2214,2211,3,,
2010,Chungbuk,Men,80021,54510,7841,46669,25511,24292,1219,,
2010,Chungbuk,Women,21188,12345,7597,4748,8843,8839,4,,
2010,DaejeonChungnam,Men,149091,113033,18468,94565,36058,33285,2773,,
2010,DaejeonChungnam,Women,42894,26289,25935,354,16605,16574,31,,
2010,Jeonbuk,Men,94416,67659,13310,54349,26757,24884,1873,,
2010,Jeonbuk,Women,30368,18484,18480,4,11884,11865,19,,
2010,Jeonnam,Men,130294,93697,24550,69147,36597,31871,4726,,
2010,Jeonnam,Women,68115,50271,49202,1069,17844,17781,63,,
2010,Gyeongnam,Men,95546,80567,18645,61922,14979,12240,2739,,
2010,Gyeongnam,Women,23988,20630,20627,3,3358,3335,23,,
2010,Jeju,Men,24703,17192,3499,13693,7511,5784,1727,,
2010,Jeju,Women,13751,10643,9379,1264,3108,3092,16,,
2010,Outside of Korean Red Cross,Men,100543,85791,10370,75421,14752,5348,8475,,929
