year,source,sex,age,count
2013,Daejeon/Sejong/Chungnaam,Women,16-19,30699
2013,Jeonbook,Men,16-19,34151
2013,Jeonbook,Women,16-19,20675
2013,Gwangju/Jeonnam,Men,16-19,44979
2013,Gwangju/Jeonnam,Women,16-19,42555
2013,Gyeongnaam,Men,16-19,39749
2013,Gyeongnaam,Women,16-19,18365
2013,Jeju,Men,16-19,6996
2013,Jeju,Women,16-19,7649
2013,Outside of Korean Red Cross,Men,16-19,39435
2013,Outside of Korean Red Cross,Women,16-19,37291
2014,Central Seoul,Men,16-19,
2014,Central Seoul,Women,16-19,
2014,Western Seoul,Men,16-19,63623
2014,Western Seoul,Women,16-19,43910
2014,Southern Seoul,Men,16-19,33932
2014,Southern Seoul,Women,16-19,20582
2014,Eastern Seoul,Men,16-19,63058
2014,Eastern Seoul,Women,16-19,49790
2014,Busan,Men,16-19,45358
2014,Busan,Women,16-19,37042
2014,Daegu/Gyeungbook,Men,16-19,52822
2014,Daegu/Gyeungbook,Women,16-19,42523
2014,Incheon,Men,16-19,41228
2014,Incheon,Women,16-19,33289
2014,Ulsan,Men,16-19,21921
2014,Ulsan,Women,16-19,10630
2014,Gyeonggi,Men,16-19,39954
2014,Gyeonggi,Women,16-19,26624
2014,Gangwon,Men,16-19,24830
2014,Gangwon,Women,16-19,15125
2014,Chungbook,Men,16-19,22311
2014,Chungbook,Women,16-19,13741
2014,Daejeon/Sejong/Chungnaam,Men,16-19,52709
2014,Daejeon/Sejong/Chungnaam,Women,16-19,30467
2014,Jeonbook,Men,16-19,28182
2014,Jeonbook,Women,16-19,20134
2014,Gwangju/Jeonnam,Men,16-19,46698
2014,Gwangju/Jeonnam,Women,16-19,44433
2014,Gyeongnaam,Men,16-19,38763
2014,Gyeongnaam,Women,16-19,17914
2014,Jeju,Men,16-19,7609
2014,Jeju,Women,16-19,8094
2014,Outside of Korean Red Cross,Men,16-19,39857
2014,Outside of Korean Red Cross,Women,16-19,36951
2015,Central Seoul,Men,16-19,
2015,Central Seoul,Women,16-19,
2015,Western Seoul,Men,16-19,56713
2015,Western Seoul,Women,16-19,42213
2015,Southern Seoul,Men,16-19,31072
2015,Southern Seoul,Women,16-19,19206
2015,Eastern Seoul,Men,16-19,56976
2015,Eastern Seoul,Women,16-19,43258
2015,Busan,Men,16-19,48798
2015,Busan,Women,16-19,36625
2015,Daegu/Gyeungbook,Men,16-19,49940
2015,Daegu/Gyeungbook,Women,16-19,39241
2015,Incheon,Men,16-19,38824
2015,Incheon,Women,16-19,30278
2015,Ulsan,Men,16-19,24046
2015,Ulsan,Women,16-19,11934
2015,Gyeonggi,Men,16-19,41308
2015,Gyeonggi,Women,16-19,28302
2015,Gangwon,Men,16-19,26830
2015,Gangwon,Women,16-19,17079
2015,Chungbook,Men,16-19,23493
2015,Chungbook,Women,16-19,14284
2015,Daejeon/Sejong/Chungnaam,Men,16-19,53843
2015,Daejeon/Sejong/Chungnaam,Women,16-19,32451
2015,Jeonbook,Men,16-19,30825
2015,Jeonbook,Women,16-19,19272
2015,Gwangju/Jeonnam,Men,16-19,48222
2015,Gwangju/Jeonnam,Women,16-19,43968
2015,Gyeongnaam,Men,16-19,34506
2015,Gyeongnaam,Women,16-19,16183
2015,Jeju,Men,16-19,7832
2015,Jeju,Women,16-19,8539
2015,Outside of Korean Red Cross,Men,16-19,38993
2015,Outside of Korean Red Cross,Women,16-19,33887
2016,Central Seoul,Men,16-19,
2016,Central Seoul,Women,16-19,
2016,Western Seoul,Men,16-19,46928
2016,Western Seoul,Women,16-19,29317
2016,Southern Seoul,Men,16-19,31503
2016,Southern Seoul,Women,16-19,17259
2016,Eastern Seoul,Men,16-19,47668
2016,Eastern Seoul,Women,16-19,32579
2016,Busan,Men,16-19,44058
2016,Busan,Women,16-19,25896
2016,Daegu/Gyeungbook,Men,16-19,49541
2016,Daegu/Gyeungbook,Women,16-19,30784
2016,Incheon,Men,16-19,33131
2016,Incheon,Women,16-19,22469
2016,Ulsan,Men,16-19,23160
2016,Ulsan,Women,16-19,10756
2016,Gyeonggi,Men,16-19,38543
2016,Gyeonggi,Women,16-19,21622
2016,Gangwon,Men,16-19,25470
2016,Gangwon,Women,16-19,12929
2016,Chungbook,Men,16-19,20506
2016,Chungbook,Women,16-19,11904
2016,Daejeon/Sejong/Chungnaam,Men,16-19,52651
2016,Daejeon/Sejong/Chungnaam,Women,16-19,31071
2016,Jeonbook,Men,16-19,29651
2016,Jeonbook,Women,16-19,15560
2016,Gwangju/Jeonnam,Men,16-19,46587
2016,Gwangju/Jeonnam,Women,16-19,36562
2016,Gyeongnaam,Men,16-19,32663
2016,Gyeongnaam,Women,16-19,14200
2016,Jeju,Men,16-19,7476
2016,Jeju,Women,16-19,6382
2016,Outside of Korean Red Cross,Men,16-19,39181
2016,Outside of Korean Red Cross,Women,16-19,34567
2017,Central Seoul,Men,16-19,
2017,Central Seoul,Women,16-19,
2017,Western Seoul,Men,16-19,43565
2017,Western Seoul,Women,16-19,27004
2017,Southern Seoul,Men,16-19,35391
2017,Southern Seoul,Women,16-19,18732
2017,Eastern Seoul,Men,16-19,50080
2017,Eastern Seoul,Women,16-19,33905
2017,Busan,Men,16-19,42817
2017,Busan,Women,16-19,25794
2017,Daegu/Gyeungbook,Men,16-19,47374
2017,Daegu/Gyeungbook,Women,16-19,29818
2017,Incheon,Men,16-19,31190
2017,Incheon,Women,16-19,21197
2017,Ulsan,Men,16-19,22964
2017,Ulsan,Women,16-19,10036
2017,Gyeonggi,Men,16-19,38229
2017,Gyeonggi,Women,16-19,21029
2017,Gangwon,Men,16-19,25971
2017,Gangwon,Women,16-19,12575
2017,Chungbook,Men,16-19,21063
2017,Chungbook,Women,16-19,12329
2017,Daejeon/Sejong/Chungnaam,Men,16-19,51931
2017,Daejeon/Sejong/Chungnaam,Women,16-19,32009
2017,Jeonbook,Men,16-19,28172
2017,Jeonbook,Women,16-19,14409
2017,Gwangju/Jeonnam,Men,16-19,49516
2017,Gwangju/Jeonnam,Women,16-19,38125
2017,Gyeongnaam,Men,16-19,35511
2017,Gyeongnaam,Women,16-19,14940
2017,Jeju,Men,16-19,6955
2017,Jeju,Women,16-19,6067
2017,Outside of Korean Red Cross,Men,16-19,36395
2017,Outside of Korean Red Cross,Women,16-19,28810
2018,Central Seoul,Men,16-19,36260
2018,Central Seoul,Women,16-19,24058
2018,Western Seoul,Men,16-19,
2018,Western Seoul,Women,16-19,
2018,Southern Seoul,Men,16-19,30955
2018,Southern Seoul,Women,16-19,15809
2018,Eastern Seoul,Men,16-19,46981
2018,Eastern Seoul,Women,16-19,31397
2018,Busan,Men,16-19,42584
2018,Busan,Women,16-19,26325
2018,Daegu/Gyeungbook,Men,16-19,48723
