city,year,month,month_name,unit,patients
Eastern Seoul,2007,7,July,14105.65594228406,5558
Eastern Seoul,2007,8,August,14586.321919160933,5683
Eastern Seoul,2007,9,September,11909.887703194601,4523
Eastern Seoul,2007,10,October,13653.476601458166,5303
Eastern Seoul,2007,11,November,12629.347502815357,4925
Eastern Seoul,2007,12,December,12324.94641789588,4890
Eastern Seoul,2008,1,January,16242.969325156912,6718
Eastern Seoul,2008,2,February,12462.566355613219,5028
Eastern Seoul,2008,3,March,13652.0930779395,5522
Eastern Seoul,2008,4,April,12680.620260710617,5129
Eastern Seoul,2008,5,May,12610.172525734128,5100
Eastern Seoul,2008,6,June,13161.702816148725,5356
Eastern Seoul,2008,7,July,14197.107935300344,5857
Eastern Seoul,2008,8,August,13251.830959190062,5422
Eastern Seoul,2008,9,September,12342.94225968857,4934
Eastern Seoul,2008,10,October,10941.478874274522,4317
Eastern Seoul,2008,11,November,11743.656260638321,4781
Eastern Seoul,2008,12,December,12349.434130118243,5074
Eastern Seoul,2009,1,January,15972.181941322297,6531
Eastern Seoul,2009,2,February,15121.24189989088,6246
Eastern Seoul,2009,3,March,15452.12841071358,6269
Eastern Seoul,2009,4,April,14401.135026448626,5855
Eastern Seoul,2009,5,May,14025.92315799947,5735
Eastern Seoul,2009,6,June,14488.358690403431,5932
Eastern Seoul,2009,7,July,15900.351000219402,6544
Eastern Seoul,2009,8,August,15735.201419356315,6453
Eastern Seoul,2009,9,September,14570.88758458011,5845
Eastern Seoul,2009,10,October,14433.285309344716,5792
Eastern Seoul,2009,11,November,13663.355653282035,5504
Eastern Seoul,2009,12,December,15052.117048346146,6212
Eastern Seoul,2010,1,January,17718.356578351395,7336
Eastern Seoul,2010,2,February,14408.711529865604,5907
Eastern Seoul,2010,3,March,16698.72389725802,6813
Eastern Seoul,2010,4,April,15074.393688190174,6136
Eastern Seoul,2010,5,May,14963.785208956033,6095
Eastern Seoul,2010,6,June,15557.075230887342,6352
Eastern Seoul,2010,7,July,15551.659874386514,6383
Eastern Seoul,2010,8,August,16068.064645293081,6669
Eastern Seoul,2010,9,September,13351.077244736938,5333
Eastern Seoul,2010,10,October,14187.718729652404,5739
Eastern Seoul,2010,11,November,14048.810283984265,5760
Eastern Seoul,2010,12,December,14330.78667835779,6023
Eastern Seoul,2011,1,January,17174.153685694644,7107
Eastern Seoul,2011,2,February,13880.516769870119,5719
Eastern Seoul,2011,3,March,16230.472924584237,6684
Eastern Seoul,2011,4,April,14353.470041602539,5942
Eastern Seoul,2011,5,May,14857.825725138804,6167
Eastern Seoul,2011,6,June,14781.073844381244,6104
Eastern Seoul,2011,7,July,14889.01478203894,6203
Eastern Seoul,2011,8,August,13784.278734799762,5722
Eastern Seoul,2011,9,September,11126.432748069354,4496
Eastern Seoul,2011,10,October,13539.98149530492,5590
Eastern Seoul,2011,11,November,13779.776829326143,5756
Eastern Seoul,2011,12,December,14164.708964776628,6027
Eastern Seoul,2012,1,January,17553.198479651248,7445
Eastern Seoul,2012,2,February,16254.018316326907,6894
Eastern Seoul,2012,3,March,15558.018718024472,6477
Eastern Seoul,2012,4,April,14598.242991359126,6125
Eastern Seoul,2012,5,May,15300.21956740084,6436
Eastern Seoul,2012,6,June,14578.157608906915,6052
Eastern Seoul,2012,7,July,16647.85173206575,6984
Eastern Seoul,2012,8,August,16143.217692285158,6732
Eastern Seoul,2012,9,September,13873.233964686864,5699
Eastern Seoul,2012,10,October,15315.617526202037,6378
Eastern Seoul,2012,11,November,14519.664686155273,6091
Eastern Seoul,2012,12,December,14145.877932329095,6036
Eastern Seoul,2013,1,January,18646.107291596003,7947
Eastern Seoul,2013,2,February,14623.999243212527,6103
Eastern Seoul,2013,3,March,15225.914356840887,6332
Eastern Seoul,2013,4,April,14655.839006067501,6128
Eastern Seoul,2013,5,May,14746.179097837346,6216
Eastern Seoul,2013,6,June,13950.403607800428,5858
Eastern Seoul,2013,7,July,15917.402339064201,6766
Eastern Seoul,2013,8,August,14880.680148690531,6252
Eastern Seoul,2013,9,September,13602.48092525124,5613
Eastern Seoul,2013,10,October,14346.35053432449,5993
Eastern Seoul,2013,11,November,13726.15911372508,5781
Eastern Seoul,2013,12,December,14909.407483890362,6410
Eastern Seoul,2014,1,January,16669.424526987732,7113
Eastern Seoul,2014,2,February,15760.93547089307,6769
Eastern Seoul,2014,3,March,15134.765014914954,6383
Eastern Seoul,2014,4,April,14283.790671933231,6000
Eastern Seoul,2014,5,May,13852.447371092485,5795
Eastern Seoul,2014,6,June,14048.436423992913,5855
Eastern Seoul,2014,7,July,15619.939688965576,6558
Eastern Seoul,2014,8,August,14773.039984354731,6174
Eastern Seoul,2014,9,September,14246.95633704991,5860
Eastern Seoul,2014,10,October,14093.131268342193,5839
Eastern Seoul,2014,11,November,13380.574834294068,5637
Eastern Seoul,2014,12,December,14583.1267939098,6254
Eastern Seoul,2015,1,January,16904.969824509528,7255
Eastern Seoul,2015,2,February,13069.359904076844,5516
Eastern Seoul,2015,3,March,15355.379363309297,6503
Eastern Seoul,2015,4,April,14090.4160759538,5929
Eastern Seoul,2015,5,May,13495.189327717164,5679
Eastern Seoul,2015,6,June,12221.693070565305,5053
Eastern Seoul,2015,7,July,14105.996761430304,5891
Eastern Seoul,2015,8,August,14681.833608632867,6230
Eastern Seoul,2015,9,September,13248.475196381325,5515
Eastern Seoul,2015,10,October,14158.54903238965,5939
Eastern Seoul,2015,11,November,14011.690411955158,5966
Eastern Seoul,2015,12,December,14695.150643140714,6372
Eastern Seoul,2016,1,January,17061.379930868086,7346
Eastern Seoul,2016,2,February,14377.790572434553,6130
Eastern Seoul,2016,3,March,16097.191603533116,6842
Eastern Seoul,2016,4,April,13949.257772801013,5910
Eastern Seoul,2016,5,May,14913.897032586327,6377
Eastern Seoul,2016,6,June,14310.306803877254,6013
Eastern Seoul,2016,7,July,14648.995640278727,6138
Eastern Seoul,2016,8,August,15126.961497938171,6384
Eastern Seoul,2016,9,September,13496.696022503405,5555
Eastern Seoul,2016,10,October,13847.864931596374,5793
Eastern Seoul,2016,11,November,14237.545151811239,5992
Eastern Seoul,2016,12,December,14379.860601981414,6202
Eastern Seoul,2017,1,January,16442.732114647384,7148
Eastern Seoul,2017,2,February,14682.580057197472,6390
Eastern Seoul,2017,3,March,15188.766574990523,6523
Eastern Seoul,2017,4,April,13918.38261123324,5969
Eastern Seoul,2017,5,May,14792.459951647263,6360
Eastern Seoul,2017,6,June,14341.232373780946,6159
Eastern Seoul,2017,7,July,15052.811089479681,6543
Eastern Seoul,2017,8,August,15361.962117849615,6642
Eastern Seoul,2017,9,September,14237.315213149064,6080
Eastern Seoul,2017,10,October,13078.819320357094,5601
Eastern Seoul,2017,11,November,14327.980289477435,6225
Eastern Seoul,2017,12,December,13748.10066670037,6046
Eastern Seoul,2018,1,January,17746.56747966597,7845
Eastern Seoul,2018,2,February,13313.553468114545,5807
Eastern Seoul,2018,3,March,15001.10884308559,6516
Eastern Seoul,2018,4,April,14519.914142270063,6333
Eastern Seoul,2018,5,May,14717.965214349668,6435
Eastern Seoul,2018,6,June,13635.307417918602,5930
Eastern Seoul,2018,7,July,15510.459064026214,6835
Eastern Seoul,2018,8,August,14975.400259423106,6571
Eastern Seoul,2018,9,September,12787.731692252984,5524
Eastern Seoul,2018,10,October,14729.793564354939,6412
Eastern Seoul,2018,11,November,14349.846503559185,6272
Eastern Seoul,2018,12,December,14199.441528519632,6342
Eastern Seoul,2019,1,January,18199.003488388076,8040
Eastern Seoul,2019,2,February,14016.103450419145,6139
Eastern Seoul,2019,3,March,15378.125487646037,6743
Eastern Seoul,2019,4,April,15175.294756435113,6655
Eastern Seoul,2019,5,May,15367.943799728593,6773
Eastern Seoul,2019,6,June,14400.085136030535,6323
Eastern Seoul,2019,7,July,16506.14180638633,7324
Eastern Seoul,2019,8,August,15251.967504112392,6738
Eastern Seoul,2019,9,September,14473.775253775408,6341
Eastern Seoul,2019,10,October,14813.455595631724,6433
Eastern Seoul,2019,11,November,14812.614077684642,6541
Eastern Seoul,2019,12,December,15307.37752441618,6886
Eastern Seoul,2020,1,January,16248.00522994426,7146
Eastern Seoul,2020,2,February,13988.422922849913,6189
Eastern Seoul,2020,3,March,13506.107547803944,5897
Eastern Seoul,2020,4,April,13019.817359873907,5615
Eastern Seoul,2020,5,May,14141.050816956278,6184
Eastern Seoul,2020,6,June,15024.211790795885,6610
Eastern Seoul,2020,7,July,15333.822248920727,6734
Eastern Seoul,2020,8,August,13819.737826470091,6026
Eastern Seoul,2020,9,September,13461.757268813997,5807
Eastern Seoul,2020,10,October,14227.3305160391,6193
Eastern Seoul,2020,11,November,14446.121421145739,6375
Eastern Seoul,2020,12,December,14441.57941687753,6449
Eastern Seoul,2021,1,January,16138.33622261729,7074
Eastern Seoul,2021,2,February,13466.347962391632,5887
Eastern Seoul,2021,3,March,16642.571080294736,7325
Eastern Seoul,2021,4,April,15378.676724636542,6751
Eastern Seoul,2021,5,May,14808.080503281677,6491
Eastern Seoul,2021,6,June,15461.8348592946,6789
Eastern Seoul,2021,7,July,15798.716532838462,6941
Eastern Seoul,2021,8,August,15646.329526095053,6889
Eastern Seoul,2021,9,September,14164.101584839398,6168
Eastern Seoul,2021,10,October,14915.313300128906,6549
Eastern Seoul,2021,11,November,15524.150850749844,6859
Eastern Seoul,2021,12,December,14847.8361345053,6730
Eastern Seoul,2022,1,January,16793.08270285025,7220
Eastern Seoul,2022,2,February,14339.643824069286,6190
Eastern Seoul,2022,3,March,15272.402207075289,6552
Eastern Seoul,2022,4,April,15270.165613679084,6581
Eastern Seoul,2022,5,May,16353.998341854927,7121
Eastern Seoul,2022,6,June,16098.788979757295,7032
Eastern Seoul,2022,7,July,16263.7366321956,7054
Eastern Seoul,2022,8,August,16707.05674630832,7210
Eastern Seoul,2022,9,September,15603.049128456665,6688
Eastern Seoul,2022,10,October,15674.327101537223,6786
Eastern Seoul,2022,11,November,16155.265409651422,7072
Eastern Seoul,2022,12,December,15689.842498299076,6999
Gangwon,2006,1,January,4985.691233011754,1890
Gangwon,2006,2,February,4687.959528716559,1763
Gangwon,2006,3,March,4736.82902098822,1756
Gangwon,2006,4,April,4350.796049492063,1615
Gangwon,2006,5,May,4625.247588259006,1721
Gangwon,2006,6,June,4547.087194208833,1699
Gangwon,2006,7,July,4723.587806643117,1792
Gangwon,2006,8,August,5067.3682770312835,1910
Gangwon,2006,9,September,4547.855720668814,1669
Gangwon,2006,10,October,4409.838014291699,1610
Gangwon,2006,11,November,4481.083645623735,1656
Gangwon,2006,12,December,4472.251823963445,1671
Gangwon,2007,1,January,5833.8265198335785,2184
Gangwon,2007,2,February,4838.704045623893,1758
Gangwon,2007,3,March,5319.831489519907,1923
Gangwon,2007,4,April,4933.52478028375,1796
Gangwon,2007,5,May,5120.596089590706,1862
Gangwon,2007,6,June,4902.785118414775,1775
Gangwon,2007,7,July,5337.915370887128,1951
Gangwon,2007,8,August,5553.570515483423,2001
Gangwon,2007,9,September,4765.92547412226,1662
Gangwon,2007,10,October,5217.352302753856,1858
Gangwon,2007,11,November,4798.881833223148,1719
Gangwon,2007,12,December,4637.722767732748,1691
Gangwon,2008,1,January,5849.770194224109,2255
Gangwon,2008,2,February,4696.661911645465,1764
Gangwon,2008,3,March,5066.841118637582,1911
Gangwon,2008,4,April,4764.862372862023,1799
Gangwon,2008,5,May,4785.5738061254115,1808
Gangwon,2008,6,June,4903.656863959772,1875
Gangwon,2008,7,July,5279.332001364047,2033
Gangwon,2008,8,August,4957.527277079527,1899
Gangwon,2008,9,September,4757.668670059899,1776
Gangwon,2008,10,October,4184.526288093282,1531
Gangwon,2008,11,November,4401.908885744477,1669
Gangwon,2008,12,December,4534.017906910535,1735
Gangwon,2009,1,January,5664.040674640793,2161
Gangwon,2009,2,February,5257.030009994291,2037
Gangwon,2009,3,March,5463.809379490754,2077
Gangwon,2009,4,April,5136.63683975016,1956
Gangwon,2009,5,May,4988.546827375008,1914
Gangwon,2009,6,June,5069.514745419435,1959
Gangwon,2009,7,July,5547.332250414865,2148
Gangwon,2009,8,August,5474.448088296273,2116
Gangwon,2009,9,September,5252.570348945397,1975
Gangwon,2009,10,October,5126.041917986295,1927
Gangwon,2009,11,November,4857.713677795802,1831
Gangwon,2009,12,December,5175.47304984333,2000
Gangwon,2010,1,January,5882.621009293648,2275
Gangwon,2010,2,February,4924.862130918036,1882
Gangwon,2010,3,March,5655.063012724272,2159
Gangwon,2010,4,April,5165.493953961111,1965
Gangwon,2010,5,May,5119.346650668433,1949
Gangwon,2010,6,June,5287.145851408563,2022
Gangwon,2010,7,July,5274.656355248441,2028
Gangwon,2010,8,August,5491.072519536878,2122
Gangwon,2010,9,September,4843.628994336974,1786
Gangwon,2010,10,October,5010.086209363072,1869
Gangwon,2010,11,November,4901.9229453717,1855
Gangwon,2010,12,December,4895.444088682806,1906
Gangwon,2011,1,January,5808.730318271574,2201
Gangwon,2011,2,February,4730.8605064505155,1796
Gangwon,2011,3,March,5545.6101919267685,2103
Gangwon,2011,4,April,4957.47241520984,1888
Gangwon,2011,5,May,5118.077185357028,1957
Gangwon,2011,6,June,5068.350011807115,1938
Gangwon,2011,7,July,5106.39810610937,1964
Gangwon,2011,8,August,4751.524264447972,1816
Gangwon,2011,9,September,3908.8803385168835,1449
Gangwon,2011,10,October,4645.104300672109,1765
Gangwon,2011,11,November,4725.444677202883,1812
Gangwon,2011,12,December,4740.650901984919,1856
Gangwon,2012,1,January,5834.931091701647,2278
Gangwon,2012,2,February,5397.442536932362,2116
Gangwon,2012,3,March,5323.536710309332,2043
Gangwon,2012,4,April,5028.099929650894,1940
Gangwon,2012,5,May,5206.853060460379,2022
Gangwon,2012,6,June,4990.048560950223,1924
Gangwon,2012,7,July,5544.704504836912,2159
Gangwon,2012,8,August,5450.141794038164,2105
Gangwon,2012,9,September,4835.309909743458,1829
Gangwon,2012,10,October,5221.895403503398,2004
Gangwon,2012,11,November,4938.268303887427,1907
Gangwon,2012,12,December,4719.022377901765,1863
Gangwon,2013,1,January,6179.436472417016,2432
Gangwon,2013,2,February,4949.892282864589,1915
Gangwon,2013,3,March,5195.200732521295,2008
Gangwon,2013,4,April,5016.029447850171,1945
Gangwon,2013,5,May,5059.314759823632,1976
Gangwon,2013,6,June,4764.828362021209,1865
Gangwon,2013,7,July,5372.444616445907,2120
Gangwon,2013,8,August,5072.538872797273,1981
Gangwon,2013,9,September,4747.0963507487795,1810
Gangwon,2013,10,October,4915.392531563424,1904
Gangwon,2013,11,November,4700.736101787162,1833
Gangwon,2013,12,December,4998.923480287822,1996
Gangwon,2014,1,January,5641.812177565057,2230
Gangwon,2014,2,February,5322.656001184019,2121
Gangwon,2014,3,March,5211.377809879085,2047
Gangwon,2014,4,April,4972.655916432535,1944
Gangwon,2014,5,May,4852.9739002407305,1889
Gangwon,2014,6,June,4873.739159823093,1897
Gangwon,2014,7,July,5343.446500261894,2096
Gangwon,2014,8,August,5081.260742090291,1980
Gangwon,2014,9,September,4995.2113395998895,1919
Gangwon,2014,10,October,4901.815779895946,1899
Gangwon,2014,11,November,4641.657744824052,1824
Gangwon,2014,12,December,4964.37984714458,1989
Gangwon,2015,1,January,5978.2226127505555,2370
Gangwon,2015,2,February,4729.928819085444,1840
Gangwon,2015,3,March,5532.85568296734,2174
Gangwon,2015,4,April,5133.405198052704,2000
Gangwon,2015,5,May,4913.151947744931,1917
Gangwon,2015,6,June,4534.421101941557,1733
Gangwon,2015,7,July,5137.932216627172,1991
Gangwon,2015,8,August,5244.730836123679,2070
Gangwon,2015,9,September,4866.318146244494,1875
Gangwon,2015,10,October,5143.0169201452845,2007
Gangwon,2015,11,November,5014.075902323858,1986
Gangwon,2015,12,December,5184.322979192015,2094
Gangwon,2016,1,January,6085.212859340765,2436
Gangwon,2016,2,February,5204.708302427332,2068
Gangwon,2016,3,March,5814.2466667072795,2306
Gangwon,2016,4,April,5101.419280833481,2019
Gangwon,2016,5,May,5399.702955499906,2153
Gangwon,2016,6,June,5212.400794005711,2058
Gangwon,2016,7,July,5335.981245670651,2099
Gangwon,2016,8,August,5463.094584034373,2165
Gangwon,2016,9,September,5031.410419109257,1941
Gangwon,2016,10,October,5027.658398594012,1981
Gangwon,2016,11,November,5143.4902627049305,2040
Gangwon,2016,12,December,5129.5358430301185,2092
Gangwon,2017,1,January,5859.775860556822,2357
Gangwon,2017,2,February,5224.634924259528,2111
Gangwon,2017,3,March,5469.393531596445,2181
Gangwon,2017,4,April,5021.682298313814,2004
Gangwon,2017,5,May,5324.75381967247,2131
Gangwon,2017,6,June,5177.365385937022,2070
Gangwon,2017,7,July,5371.649898110523,2171
Gangwon,2017,8,August,5501.19566711536,2211
Gangwon,2017,9,September,5134.314619681887,2034
Gangwon,2017,10,October,4742.71009802672,1891
Gangwon,2017,11,November,5076.73353080099,2061
