"Area","Gender",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"Area","Gender",Men+Women,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Men+Women,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown
"Area","Gender",Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Death at entering hospital,DNR Death,Death after CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room °Ê Hospital Room,Operating Room°ÊIntensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Transition to Tertiary Hospital,Transition to Secondary Hospital,Transition to Long-term Facility,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Death at entering hospital,DNR Death,Death after CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room °Ê Hospital Room,Operating Room°ÊIntensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Transition to Tertiary Hospital,Transition to Secondary Hospital,Transition to Long-term Facility,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal
"Ulsan","Men",41206,30388,28590,0,0,733,552,513,160,55,16,89,0,8951,6913,1504,383,151,0,279,7,4,84,21,0,155,0,8,1428,0,41727,30237,28344,1,1,775,461,655,203,76,8,118,1,9687,7447,1714,335,191,0,217,8,4,63,19,0,0,119,4,1382,1
"Ulsan","Women",33793,25299,23933,1,0,474,545,346,124,55,11,58,0,6902,5723,887,211,80,1,215,9,24,66,15,0,96,1,4,1253,0,33571,24632,23276,2,0,494,411,449,118,44,16,58,0,7365,6024,1069,188,84,0,143,3,8,43,16,1,0,67,5,1313,0
"Gyeonggi","Men+Women",1168712,939962,847286,522,34,21588,9417,61115,6030,4069,521,1411,29,195543,155652,28161,8317,2747,666,10967,1643,837,1267,1422,434,4467,209,688,8951,7259,1241351,994151,896849,536,41,24149,8857,63719,6348,4144,456,1687,61,212154,170719,30304,8102,2890,139,10691,1150,681,1198,2326,282,159,4150,745,8865,9142
"Gyeonggi","Men",604300,481911,433380,260,20,11819,4801,31631,3435,2228,305,882,20,104281,80657,16720,4920,1728,256,6354,892,466,769,805,254,2640,114,414,4758,3561,642780,510961,460389,261,23,13032,4542,32714,3574,2203,278,1050,43,112662,88142,17940,4675,1842,63,6288,620,377,732,1376,162,90,2489,442,4745,4550
"Gyeonggi","Women",564412,458051,413906,262,14,9769,4616,29484,2595,1841,216,529,9,91262,74995,11441,3397,1019,410,4613,751,371,498,617,180,1827,95,274,4193,3698,598571,483190,436460,275,18,11117,4315,31005,2774,1941,178,637,18,99492,82577,12364,3427,1048,76,4403,530,304,466,950,120,69,1661,303,4120,4592
"Gangwon","Men+Women",180569,133567,124080,56,20,2482,669,6260,1765,1229,209,319,8,40749,31784,7005,1299,606,55,4218,58,47,102,645,72,3179,10,105,25,245,164409,119438,108327,16,19,2425,468,8183,1384,828,184,372,0,39788,30353,7155,1434,655,191,3557,48,7,80,534,154,18,2620,96,151,91
"Gangwon","Men",98495,71893,66438,30,8,1455,358,3604,1043,706,127,204,6,22864,17337,4352,761,394,20,2538,29,28,57,392,44,1916,5,67,14,143,89880,64131,57763,11,10,1457,255,4635,856,493,118,245,0,22547,16792,4344,891,420,100,2183,30,3,56,340,88,7,1592,67,116,47
"Gangwon","Women",82074,61674,57642,26,12,1027,311,2656,722,523,82,115,2,17885,14447,2653,538,212,35,1680,29,19,45,253,28,1263,5,38,11,102,74529,55307,50564,5,9,968,213,3548,528,335,66,127,0,17241,13561,2811,543,235,91,1374,18,4,24,194,66,11,1028,29,35,44
"Chungbook","Men+Women",116118,83231,70806,10,3,1874,337,10201,873,560,18,278,17,26183,21629,3382,776,242,154,2012,63,85,221,461,88,877,58,159,3519,300,111072,81704,68766,11,3,1749,493,10682,854,534,16,295,9,24280,20213,2876,765,372,54,1797,22,74,186,542,32,41,788,112,2308,129
"Chungbook","Men",62817,44727,37665,8,2,1066,172,5814,543,330,14,188,11,14284,11549,2035,476,163,61,1193,25,53,128,304,52,529,21,81,1909,161,59456,43238,35816,6,0,1007,284,6125,512,314,7,185,6,13301,10801,1755,474,243,28,1099,4,45,117,336,18,19,497,63,1236,70
