"Gender","Location","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men","Military Base","Outside of Korean Red Cross","Composition Rate[%]","%","0","0","0","0","0","0","0",".1","0","0","0","-","2.7",".6","0","-","-","-","-",
"Men","Religion","Total","Donation Count[Unit]","Unit","18438","12219","6877","6866","8683","7224","5971","5716","4150","5088","4569","4914","5423","5443","5400","3040","7541","11213","8849",
"Men","Religion","Total","Composition Rate[%]","%","1",".7",".4",".4",".5",".4",".3",".3",".2",".2",".2",".2",".3",".3",".3",".2",".4",".6",".4",
"Men","Religion","Korean Red Cross","Donation Count[Unit]","Unit","18438","12219","6877","6866","5409","3341","3256","3523","1831","3015","2904","3066","3498","3971","3891","1769","3915","8089","5691",
"Men","Religion","Korean Red Cross","Composition Rate[%]","%","1",".7",".4",".4",".3",".2",".2",".2",".1",".2",".1",".2",".2",".2",".2",".1",".2",".5",".3",
"Men","Religion","Central Seoul","Donation Count[Unit]","Unit","2035","1223","511","166","144","87","","","","","","","","110","153","39","304","754","533",
"Men","Religion","Central Seoul","Composition Rate[%]","%","1.2",".7",".4",".1",".1",".1","","","","","","","",".1",".1","-",".2",".5",".3",
"Men","Religion","Western Seoul","Donation Count[Unit]","Unit","2579","1779","777","309","366","41","103","220","0","0","268","187","102","","","","","","",
"Men","Religion","Western Seoul","Composition Rate[%]","%","2.3","1.6",".7",".2",".3",".1",".1",".1","0","0",".1",".1",".1","","","","","","",
"Men","Religion","Southern Seoul","Donation Count[Unit]","Unit","2191","1469","1460","1653","906","309","175","185","211","284","215","234","326","322","305","69","585","636","1109",
"Men","Religion","Southern Seoul","Composition Rate[%]","%","1.5","1","1.1","1.2",".6",".2",".1",".1",".1",".2",".1",".1",".2",".2",".2","-",".4",".5",".8",
"Men","Religion","Eastern Seoul","Donation Count[Unit]","Unit","2239","2224","974","706","532","490","715","450","347","346","435","470","479","666","460","135","485","598","768",
"Men","Religion","Eastern Seoul","Composition Rate[%]","%","1.4","1.5",".8",".5",".4",".3",".4",".2",".2",".2",".2",".2",".2",".3",".2",".1",".3",".4",".4",
"Men","Religion","Busan","Donation Count[Unit]","Unit","1139","1119","689","669","591","372","223","424","298","376","211","396","875","1214","1384","232","802","1104","538",
"Men","Religion","Busan","Composition Rate[%]","%",".7",".7",".5",".4",".4",".2",".1",".3",".2",".2",".1",".3",".6",".8",".9",".2",".6",".8",".4",
"Men","Religion","Daegu/Gyeongbook","Donation Count[Unit]","Unit","1051","57","106","217","226","334","158","280","114","97","177","164","165","142","88","285","347","731","409",
"Men","Religion","Daegu/Gyeongbook","Composition Rate[%]","%",".7","0",".1",".2",".1",".2",".1",".2",".1",".1",".1",".1",".1",".1",".1",".2",".2",".5",".2",
"Men","Religion","Incheon","Donation Count[Unit]","Unit","886","359","198","369","229","69","160","234","114","141","200","192","205","282","119","28","251","318","267",
"Men","Religion","Incheon","Composition Rate[%]","%","1",".4",".3",".4",".3",".1",".1",".2",".1",".1",".2",".2",".2",".3",".1","-",".2",".3",".2",
"Men","Religion","Ulsan","Donation Count[Unit]","Unit","316","388","240","210","291","227","231","168","163","239","181","242","229","148","150","166","190","490","246",
"Men","Religion","Ulsan","Composition Rate[%]","%",".5",".6",".5",".4",".5",".4",".4",".3",".3",".4",".3",".4",".3",".2",".2",".3",".3",".8",".3",
"Men","Religion","Gyeonggi","Donation Count[Unit]","Unit","1106","326","26","115","85","29","21","100","0","79","31","73","114","103","89","60","195","476","198",
"Men","Religion","Gyeonggi","Composition Rate[%]","%",".9",".3","0",".1",".1","0","0",".1","0",".1","0","0",".1",".1",".1","-",".1",".3",".1",
"Men","Religion","Gangwon","Donation Count[Unit]","Unit","290","149","73","131","122","135","187","186","103","92","45","43","51","39","35","37","164","448","238",
"Men","Religion","Gangwon","Composition Rate[%]","%",".4",".2",".1",".2",".2",".2",".3",".2",".1",".1","0","0","0","-","0","-",".1",".5",".2",
"Men","Religion","Chungbook","Donation Count[Unit]","Unit","348","455","409","412","558","279","352","400","162","220","151","218","174","99","232","90","84","397","198",
"Men","Religion","Chungbook","Composition Rate[%]","%",".6",".7",".7",".6",".7",".3",".5",".5",".2",".3",".2",".3",".2",".1",".3",".1",".1",".6",".3",
"Men","Religion","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","858","1185","527","392","147","108","175","132","0","222","146","103","80","80","142","152","189","203","207",
"Men","Religion","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%",".6","1",".5",".3",".1",".1",".1",".1","0",".1",".1",".1","0","-",".1",".1",".1",".1",".1",
"Men","Religion","Jeonbook","Donation Count[Unit]","Unit","594","308","252","524","277","139","124","122","14","177","140","129","129","201","179","41","110","503","219",
"Men","Religion","Jeonbook","Composition Rate[%]","%",".6",".3",".3",".6",".3",".1",".1",".1","0",".2",".1",".1",".1",".2",".2",".1",".1",".7",".3",
"Men","Religion","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","1522","797","471","820","766","582","488","491","253","629","389","394","353","308","402","362","160","950","395",
"Men","Religion","Gwangju/Jeonnaam","Composition Rate[%]","%","1.2",".6",".4",".6",".6",".4",".4",".4",".2",".5",".3",".3",".2",".2",".3",".3",".1",".8",".3",
"Men","Religion","Gyeongnaam","Donation Count[Unit]","Unit","1040","130","0","15","0","11","44","75","0","26","208","117","114","164","46","20","13","432","319",
"Men","Religion","Gyeongnaam","Composition Rate[%]","%","1.2",".1","0","0","0","0","0",".1","0","0",".2",".1",".1",".2","0","-","0",".5",".3",
"Men","Religion","Jeju","Donation Count[Unit]","Unit","244","251","164","158","169","129","100","56","52","87","107","104","102","93","107","53","36","49","47",
"Men","Religion","Jeju","Composition Rate[%]","%","1","1.1",".8",".7",".7",".5",".5",".3",".2",".4",".4",".4",".4",".4",".4",".2",".1",".2",".1",
"Men","Religion","Outside of Korean Red Cross","Donation Count[Unit]","Unit","0","0","0","0","3274","3883","2715","2193","2319","2073","1665","1848","1925","1472","1509","1271","3626","3124","3158",
"Men","Religion","Outside of Korean Red Cross","Composition Rate[%]","%","0","0","0","0","4.1","3.9","2.5","1.9","1.8","1.6","1.2","1.3","1.3","1.1","1.2","1","2.9","2.2","1.9",
"Men","Community","Total","Donation Count[Unit]","Unit","207466","160024","158351","168827","205695","156132","135408","136827","133240","126972","127875","119648","122601","117739","118799","171468","143290","130758","140859",
"Men","Community","Total","Composition Rate[%]","%","11.3","8.9","9.9","9.7","10.9","8.2","7.4","7.2","6.5","5.9","5.9","5.8","5.7","5.6","5.8","8.9","7.6","7","7",
"Men","Community","Korean Red Cross","Donation Count[Unit]","Unit","207466","160024","158351","168827","193232","146023","127283","125959","122914","117388","117061","110445","113376","108886","109860","162003","134634","116916","122217",
"Men","Community","Korean Red Cross","Composition Rate[%]","%","11.6","9.2","10.2","10.1","10.7","8.1","7.4","7","6.4","5.8","5.8","5.7","5.7","5.5","5.8","9","7.6","6.7","6.6",
"Men","Community","Central Seoul","Donation Count[Unit]","Unit","12328","10819","11531","11436","13981","11376","","","","","","","","2648","3183","5977","5178","4628","4358",
"Men","Community","Central Seoul","Composition Rate[%]","%","7.3","6.2","8.4","7.8","9.5","6.6","","","","","","","","1.4","1.7","3.8","3.3","3","2.6",
"Men","Community","Western Seoul","Donation Count[Unit]","Unit","8079","7533","8075","7725","10453","3939","11055","10407","9665","8351","8901","6250","3336","","","","","","",
"Men","Community","Western Seoul","Composition Rate[%]","%","7.1","6.6","6.9","6.1","7.3","6","6.2","5.4","4.6","3.6","3.8","3","1.7","","","","","","",
"Men","Community","Southern Seoul","Donation Count[Unit]","Unit","10955","9090","9574","12027","13232","9798","9967","9016","9805","9023","8337","8892","10682","8890","8085","10068","7314","6922","7260",
"Men","Community","Southern Seoul","Composition Rate[%]","%","7.3","6","7","8.4","8.6","6.1","6.2","5.4","5.7","5.3","5","5.3","5.8","5.1","5","7","5.5","5.2","4.9",
"Men","Community","Eastern Seoul","Donation Count[Unit]","Unit","6993","8156","7853","7741","8600","7289","6691","6621","6159","6747","7176","6448","6898","5723","6521","7974","7707","8244","10581",
"Men","Community","Eastern Seoul","Composition Rate[%]","%","4.4","5.4","6.2","5.8","6.1","4.5","3.9","3.7","3.1","3.2","3.5","3.3","3.4","2.8","3.5","4.7","4.6","4.9","5.9",
"Men","Community","Busan","Donation Count[Unit]","Unit","24052","14968","18183","18860","21148","17607","13958","11684","6567","5061","6163","5860","8832","7937","6463","7969","5948","5436","5789",
"Men","Community","Busan","Composition Rate[%]","%","14.7","9.3","12.3","12","13.2","10.5","9.3","7.7","4.2","3.2","3.9","4.1","5.8","5.1","4.3","5.8","4.4","3.9","4.1",
"Men","Community","Daegu/Gyeongbook","Donation Count[Unit]","Unit","22846","16133","13686","14854","16455","10695","9767","10277","10260","9259","9805","10266","10247","9482","8688","13688","13202","10154","9930",
"Men","Community","Daegu/Gyeongbook","Composition Rate[%]","%","15.6","11.5","11.7","11.2","10.9","7.3","6.9","6.8","6.2","5.2","5.5","6.1","5.9","5.4","5.2","9.8","8.3","6.4","5.9",
"Men","Community","Incheon","Donation Count[Unit]","Unit","8263","6616","5758","5889","5441","3145","3427","3287","3673","3849","4041","3994","4557","4350","4431","6912","5836","5490","5847",
"Men","Community","Incheon","Composition Rate[%]","%","9.1","7.6","7.3","6.8","6","3.1","3","2.9","3.1","3.1","3.3","3.5","3.9","3.9","4","5.8","4.9","4.6","4.6",
"Men","Community","Ulsan","Donation Count[Unit]","Unit","14093","11294","9387","9907","9485","7831","7073","7991","6649","8406","7297","6167","6024","5056","7095","13729","10816","7512","8103",
"Men","Community","Ulsan","Composition Rate[%]","%","22.8","17.4","17.8","17.7","16.5","14.2","13","13.8","11","12.3","10.4","9.4","9.1","7.7","10.3","21.6","16.9","11.7","11",
"Men","Community","Gyeonggi","Donation Count[Unit]","Unit","24237","17129","14813","15692","16489","11827","9150","10813","12286","13078","13625","14396","12595","12773","12726","16676","14104","13592","14893",
"Men","Community","Gyeonggi","Composition Rate[%]","%","20.6","14.9","14.4","14.2","13.5","9.6","7.2","8.4","8.7","8.6","8.6","9.3","7.9","8.2","8","9.7","8.4","8.6","8.8",
"Men","Community","Gangwon","Donation Count[Unit]","Unit","3030","1683","3419","2958","4840","3739","4093","3016","3642","3675","3620","3765","3402","3399","4129","6865","5782","5854","5541",
"Men","Community","Gangwon","Composition Rate[%]","%","4","2.5","6.1","4.8","7.5","5.6","5.7","3.5","3.8","3.7","3.1","3.1","2.7","2.5","3.2","5.9","5.3","5.9","5.2",
"Men","Community","Chungbook","Donation Count[Unit]","Unit","5737","5298","6333","6451","6883","5380","4032","4275","3988","3762","4141","4496","5898","6673","7697","10486","8928","7995","7906",
"Men","Community","Chungbook","Composition Rate[%]","%","9.4","8.6","10.9","9.6","8.7","6.7","5.6","5.5","5.3","5","5.6","6.7","8.2","9.3","11","15.9","14","13.1","12.4",
"Men","Community","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","12310","10556","10524","14203","18292","14965","12743","12481","13866","13633","13474","12807","10213","11280","12215","20688","16751","14379","14780",
"Men","Community","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","8.8","9","9.1","10.7","13.1","10","8.8","8.2","8.5","8","7.5","7.5","5.9","6.3","6.9","12.1","10","8.7","8.8",
"Men","Community","Jeonbook","Donation Count[Unit]","Unit","9615","7024","6862","9310","9299","8463","8641","8342","7021","6256","6593","4405","6678","6475","6587","7432","5783","4233","5336",
"Men","Community","Jeonbook","Composition Rate[%]","%","10.1","7.9","9.1","11.4","10.2","9","9.5","9","7.3","7","7","5","7.7","7.8","8.1","9.7","7.6","6.1","7.3",
"Men","Community","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","24739","14977","14591","15551","17046","13393","12761","13464","15181","10940","9550","9454","11165","11336","11614","16591","14314","11175","10120",
"Men","Community","Gwangju/Jeonnaam","Composition Rate[%]","%","18.7","10.4","11.6","11.8","12.4","10.3","10.3","11","11.3","7.8","6.7","7.1","7.6","8","8.2","13","11.2","8.9","7.8",
"Men","Community","Gyeongnaam","Donation Count[Unit]","Unit","13890","13186","12627","10310","16093","13142","11543","12180","12192","13397","12029","10658","8910","9813","8052","12948","10227","8990","9190",
"Men","Community","Gyeongnaam","Composition Rate[%]","%","15.7","15.1","16.8","12.2","17.2","13.8","12.6","12.8","11.8","12","11.3","10.6","8.8","9.5","7.9","12.9","10.8","9.8","9.3",
"Men","Community","Jeju","Donation Count[Unit]","Unit","6299","5562","5135","5913","5495","3434","2382","2105","1960","1951","2309","2587","3939","3051","2374","4000","2744","2312","2583",
"Men","Community","Jeju","Composition Rate[%]","%","25.2","23.4","23.9","25.5","22","13.9","11","10.3","9.1","8.4","9","10.9","15.3","12.6","9.6","13.8","9.3","8","7.9",
"Men","Community","Outside of Korean Red Cross","Donation Count[Unit]","Unit","0","0","0","0","12463","10109","8125","10868","10326","9584","10814","9203","9225","8853","8939","9465","8656","13842","18642",
"Men","Community","Outside of Korean Red Cross","Composition Rate[%]","%","0","0","0","0","15.5","10.1","7.6","9.4","8.2","7.4","8","6.5","6.4","6.6","7","7.7","7","9.8","11.4",
"Men","Personal Participation","Total","Donation Count[Unit]","Unit","755392","871149","828878","926225","1062389","1127485","1113503","1151222","1249856","1355021","1401218","1292929","1361597","1384681","1351342","1364625","1371647","1387977","1461072",
"Men","Personal Participation","Total","Composition Rate[%]","%","41.2","48.6","52.1","53.2","56.5","59.4","61","60.4","61.4","63.4","64.7","62.6","63.8","65.7","66.4","71.2","72.4","74","72.7",
"Men","Personal Participation","Korean Red Cross","Donation Count[Unit]","Unit","713304","827387","782470","862827","1011581","1056386","1033984","1067713","1153786","1251993","1291832","1178082","1245589","1271624","1243009","1252952","1263355","1269996","1328319",
"Men","Personal Participation","Korean Red Cross","Composition Rate[%]","%","39.9","47.3","50.6","51.4","56.2","58.8","60.2","59.6","60.4","62.4","63.6","61.2","62.6","64.5","65.1","69.9","71.3","73.2","72",
"Men","Personal Participation","Central Seoul","Donation Count[Unit]","Unit","67552","82473","77540","86790","93265","119699","","","","","","","","151239","139438","131119","128474","128351","134322",
"Men","Personal Participation","Central Seoul","Composition Rate[%]","%","39.8","47.3","56.4","58.9","63","69.4","","","","","","","","77.4","76.2","83.1","82.7","82.7","81.1",
"Men","Personal Participation","Western Seoul","Donation Count[Unit]","Unit","64032","70786","86383","93142","110201","52275","133536","136665","139088","154957","159702","146945","152863","","","","","","",
"Men","Personal Participation","Western Seoul","Composition Rate[%]","%","56.2","62","73.4","73","77.2","80.1","74.6","71.2","66.3","66","68.9","69.7","75.7","","","","","","",
"Men","Personal Participation","Southern Seoul","Donation Count[Unit]","Unit","72178","91324","83123","86032","98315","111019","110799","115108","117535","115969","113663","112658","117219","115780","109060","99773","97418","98170","106479",
"Men","Personal Participation","Southern Seoul","Composition Rate[%]","%","48.1","60.3","61","60","63.5","68.6","69.1","69.2","68.3","68.1","68.7","66.5","63.3","66.6","68","69.1","73.3","73.9","72.3",
"Men","Personal Participation","Eastern Seoul","Donation Count[Unit]","Unit","59742","71609","70682","76380","90772","110215","122969","126203","135083","148737","142029","128632","135701","141641","135670","124265","124770","130353","139950",
"Men","Personal Participation","Eastern Seoul","Composition Rate[%]","%","37.6","47.5","55.6","56.8","64.1","68","71.8","69.7","68.2","69.8","68.8","65.7","67.4","70.4","72.9","72.6","74.4","78.2","77.4",
"Men","Personal Participation","Busan","Donation Count[Unit]","Unit","83307","88350","81782","90477","97826","106118","96635","95098","104288","112442","112276","98242","104835","111144","108950","107600","105119","110208","109802",
"Men","Personal Participation","Busan","Composition Rate[%]","%","51.1","55.1","55.4","57.5","61.1","63.4","64.1","62.4","66.7","71.6","70.8","68.7","69.1","71","72.7","77.9","77.6","79.7","77.1",
"Men","Personal Participation","Daegu/Gyeongbook","Donation Count[Unit]","Unit","54534","60112","51270","62441","81995","82874","80221","84203","96384","109289","114725","103280","108630","116302","113894","108697","121063","117142","120534",
"Men","Personal Participation","Daegu/Gyeongbook","Composition Rate[%]","%","37.2","43","43.7","47.2","54.1","56.5","56.3","55.4","58.1","61.3","64.6","61.3","62.9","65.8","68.1","78","76.1","73.7","72",
"Men","Personal Participation","Incheon","Donation Count[Unit]","Unit","40793","41893","45065","46798","54759","65115","74354","76686","83160","88973","89470","78251","78551","80012","78246","91369","96683","98208","104383",
"Men","Personal Participation","Incheon","Composition Rate[%]","%","45.1","48.2","57","54","60.9","63.3","64.5","67","71.1","71.5","73.7","69.1","67.8","72.2","69.9","76.5","80.7","81.9","81.9",
"Men","Personal Participation","Ulsan","Donation Count[Unit]","Unit","27450","34018","24097","26571","27914","27945","27749","29730","33276","39008","41032","38069","39494","41813","41967","40417","41751","43813","52035",
"Men","Personal Participation","Ulsan","Composition Rate[%]","%","44.4","52.4","45.8","47.4","48.7","50.8","51.1","51.4","55.1","57.2","58.5","57.9","60","63.3","61.2","63.5","65.4","68.3","70.6",
"Men","Personal Participation","Gyeonggi","Donation Count[Unit]","Unit","51677","53362","50668","54592","71150","76264","78993","81856","90352","97656","106139","98034","102374","107755","109868","127243","132825","124705","132478",
"Men","Personal Participation","Gyeonggi","Composition Rate[%]","%","44","46.4","49.3","49.6","58.1","61.7","62.5","63.8","64.3","64.3","66.6","63.4","64","68.9","69.1","74.3","78.8","78.5","78.2",
"Men","Personal Participation","Gangwon","Donation Count[Unit]","Unit","12280","13987","13020","15848","18508","20475","23252","26278","31685","37020","47437","46309","48960","51318","51631","50457","48468","49013","52046",
"Men","Personal Participation","Gangwon","Composition Rate[%]","%","16.3","20.7","23.4","25.7","28.8","30.8","32.1","30.6","33.3","37.1","40.8","37.9","38.4","38.1","40.5","43","44","49.8","49.1",
"Men","Personal Participation","Chungbook","Donation Count[Unit]","Unit","25026","27003","25301","27264","36546","41651","39591","41958","41790","41663","41339","35146","40389","40359","37090","37415","36365","36271","36653",
"Men","Personal Participation","Chungbook","Composition Rate[%]","%","41.2","43.7","43.4","40.6","46.4","52.1","55.1","53.6","55.7","55.9","56.2","52.6","56.1","56.4","52.8","56.7","57","59.2","57.6",
"Men","Personal Participation","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","32601","38563","40450","49869","61398","68448","74251","82929","87809","95552","102802","95286","104161","107056","107534","115323","113581","115467","115717",
"Men","Personal Participation","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","23.2","33.1","35","37.6","44","45.9","51.2","54.5","53.7","56","56.9","55.6","60.1","59.9","60.9","67.2","68.1","69.9","68.7",
"Men","Personal Participation","Jeonbook","Donation Count[Unit]","Unit","38190","39492","34453","36640","43228","44721","46016","46500","49483","50703","51313","43442","44373","40883","43058","45206","44530","43199","44588",
"Men","Personal Participation","Jeonbook","Composition Rate[%]","%","40","44.5","45.5","44.8","47.2","47.4","50.6","50.4","51.6","56.4","54.1","49.5","50.9","49.6","52.9","59.2","58.4","62.4","61.3",
"Men","Personal Participation","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","52012","77880","66180","69407","75612","73127","71301","70110","79773","91487","98518","88626","98800","97017","97334","95011","92838","95203","96300",
"Men","Personal Participation","Gwangju/Jeonnaam","Composition Rate[%]","%","39.4","53.9","52.6","52.8","54.9","56.1","57.8","57.5","59.5","65.6","69.5","66.5","66.9","68.7","68.7","74.5","72.8","76.2","74.7",
"Men","Personal Participation","Gyeongnaam","Donation Count[Unit]","Unit","24401","29665","26432","31119","37840","42829","43013","43417","51734","55656","56948","52344","54691","55794","54445","59681","59671","60078","60489",
"Men","Personal Participation","Gyeongnaam","Composition Rate[%]","%","27.7","33.9","35.1","36.9","40.5","44.8","46.8","45.7","49.9","49.9","53.6","52.3","53.9","54.2","53.7","59.4","62.8","65.2","61",
"Men","Personal Participation","Jeju","Donation Count[Unit]","Unit","7529","6870","6024","9457","12252","13611","11304","10972","12346","12881","14439","12818","14548","13511","14824","19376","19799","19815","22543",
"Men","Personal Participation","Jeju","Composition Rate[%]","%","30.2","28.9","28","40.8","49","55.1","52.1","53.5","57.4","55.7","56.2","54","56.6","55.8","60.1","66.8","67.2","68.4","69.3",
"Men","Personal Participation","Outside of Korean Red Cross","Donation Count[Unit]","Unit","42088","43762","46408","63398","50808","71099","79519","83509","96070","103028","109386","114847","116008","113057","108333","111673","108292","117981","132753",
"Men","Personal Participation","Outside of Korean Red Cross","Composition Rate[%]","%","100","100","100","100","63.2","70.7","74.1","72.6","75.9","79.1","80.6","81.6","80.9","84.3","85.1","90.6","87.9","83.6","81.1",
"Men","In Hospital","Total","Donation Count[Unit]","Unit","69701","73817","74425","88308","31919","30921","27867","28232","27913","30009","31775","31996","32895","33308","32380","36901","38433","36766","37044",
"Men","In Hospital","Total","Composition Rate[%]","%","3.8","4.1","4.7","5.1","1.7","1.6","1.5","1.5","1.4","1.4","1.5","1.5","1.5","1.6","1.6","1.9","2","2","1.8",
"Men","In Hospital","Korean Red Cross","Donation Count[Unit]","Unit","27613","30055","28017","24910","25226","25772","24290","24993","25100","26909","28876","29148","30545","31449","30800","35528","37048","35595","36181",
"Men","In Hospital","Korean Red Cross","Composition Rate[%]","%","1.5","1.7","1.8","1.5","1.4","1.4","1.4","1.4","1.3","1.3","1.4","1.5","1.5","1.6","1.6","2","2.1","2.1","2",
"Men","In Hospital","Central Seoul","Donation Count[Unit]","Unit","1631","1188","1388","1968","2430","3557","","","","","","","","4411","3840","3449","3555","3302","3257",
"Men","In Hospital","Central Seoul","Composition Rate[%]","%","1",".7","1","1.3","1.6","2.1","","","","","","","","2.3","2.1","2.2","2.3","2.1","2",
"Men","In Hospital","Western Seoul","Donation Count[Unit]","Unit","1408","1647","1630","1588","1716","788","3739","3943","4169","4629","4787","4257","4253","","","","","","",
"Men","In Hospital","Western Seoul","Composition Rate[%]","%","1.2","1.4","1.4","1.2","1.2","1.2","2.1","2.1","2","2","2.1","2","2.1","","","","","","",
"Men","In Hospital","Southern Seoul","Donation Count[Unit]","Unit","1985","1753","1281","1223","1566","1430","1594","2460","2861","3000","2401","2443","2716","3051","3010","3008","3239","3061","3542",
"Men","In Hospital","Southern Seoul","Composition Rate[%]","%","1.3","1.2",".9",".9","1",".9","1","1.5","1.7","1.8","1.5","1.4","1.5","1.8","1.9","2.1","2.4","2.3","2.4",
"Men","In Hospital","Eastern Seoul","Donation Count[Unit]","Unit","4347","5149","4381","3889","4105","3997","3985","3791","3935","4287","4324","4081","3656","3499","3824","3734","3710","3818","4493",
"Men","In Hospital","Eastern Seoul","Composition Rate[%]","%","2.7","3.4","3.4","2.9","2.9","2.5","2.3","2.1","2","2","2.1","2.1","1.8","1.7","2.1","2.2","2.2","2.3","2.5",
"Men","In Hospital","Busan","Donation Count[Unit]","Unit","739","769","745","687","723","747","727","751","691","643","690","756","858","767","802","1227","1329","1411","1304",
"Men","In Hospital","Busan","Composition Rate[%]","%",".5",".5",".5",".4",".5",".4",".5",".5",".4",".4",".4",".5",".6",".5",".5",".9","1","1",".9",
"Men","In Hospital","Daegu/Gyeongbook","Donation Count[Unit]","Unit","2022","1833","1656","1668","1774","1741","1723","1641","1601","1796","2219","2177","2647","2866","2839","3051","2530","2364","2134",
"Men","In Hospital","Daegu/Gyeongbook","Composition Rate[%]","%","1.4","1.3","1.4","1.3","1.2","1.2","1.2","1.1","1","1","1.2","1.3","1.5","1.6","1.7","2.2","1.6","1.5","1.3",
"Men","In Hospital","Incheon","Donation Count[Unit]","Unit","2087","2632","2900","2748","3075","3257","3468","3377","3630","3722","3916","3494","3472","3727","3527","5013","5778","4220","3444",
"Men","In Hospital","Incheon","Composition Rate[%]","%","2.3","3","3.7","3.2","3.4","3.2","3","3","3.1","3","3.2","3.1","3","3.4","3.1","4.2","4.8","3.5","2.7",
"Men","In Hospital","Ulsan","Donation Count[Unit]","Unit","318","430","354","478","437","422","367","315","407","388","485","604","571","695","974","1367","1602","1701","1564",
"Men","In Hospital","Ulsan","Composition Rate[%]","%",".5",".7",".7",".9",".8",".8",".7",".5",".7",".6",".7",".9",".9","1.1","1.4","2.1","2.5","2.7","2.1",
"Men","In Hospital","Gyeonggi","Donation Count[Unit]","Unit","3195","3548","3636","3999","4050","4404","4097","4147","4253","4420","5103","5440","5658","5270","4434","4634","3440","2853","3273",
"Men","In Hospital","Gyeonggi","Composition Rate[%]","%","2.7","3.1","3.5","3.6","3.3","3.6","3.2","3.2","3","2.9","3.2","3.5","3.5","3.4","2.8","2.7","2","1.8","1.9",
"Men","In Hospital","Gangwon","Donation Count[Unit]","Unit","898","1476","968","825","1003","1054","1084","1220","1384","1157","1124","1491","1662","2179","2239","3075","2946","2860","2832",
"Men","In Hospital","Gangwon","Composition Rate[%]","%","1.2","2.2","1.7","1.3","1.6","1.6","1.5","1.4","1.5","1.2","1","1.2","1.3","1.6","1.8","2.6","2.7","2.9","2.7",
"Men","In Hospital","Chungbook","Donation Count[Unit]","Unit","374","351","487","502","253","344","308","381","387","422","469","578","627","630","675","934","1301","1421","1179",
"Men","In Hospital","Chungbook","Composition Rate[%]","%",".6",".6",".8",".7",".3",".4",".4",".5",".5",".6",".6",".9",".9",".9","1","1.4","2","2.3","1.9",
"Men","In Hospital","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","1698","1827","1921","2077","2132","2278","1862","1888","839","1154","1437","1567","1670","1551","1454","1513","1475","1467","1423",
"Men","In Hospital","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","1.2","1.6","1.7","1.6","1.5","1.5","1.3","1.2",".5",".7",".8",".9","1",".9",".8",".9",".9",".9",".8",
"Men","In Hospital","Jeonbook","Donation Count[Unit]","Unit","555","681","574","556","609","695","478","445","334","381","408","505","537","632","668","763","1032","1266","1529",
"Men","In Hospital","Jeonbook","Composition Rate[%]","%",".6",".8",".8",".7",".7",".7",".5",".5",".3",".4",".4",".6",".6",".8",".8","1","1.4","1.8","2.1",
"Men","In Hospital","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","151","174","207","166","233","219","202","187","180","130","136","156","138","167","231","395","964","1365","1621",
"Men","In Hospital","Gwangju/Jeonnaam","Composition Rate[%]","%",".1",".1",".2",".1",".2",".2",".2",".2",".1",".1",".1",".1",".1",".1",".2",".3",".8","1.1","1.3",
"Men","In Hospital","Gyeongnaam","Donation Count[Unit]","Unit","5774","6093","5441","2106","741","629","502","416","295","246","319","504","726","785","850","1001","1050","1432","1515",
"Men","In Hospital","Gyeongnaam","Composition Rate[%]","%","6.5","7","7.2","2.5",".8",".7",".5",".4",".3",".2",".3",".5",".7",".8",".8","1","1.1","1.6","1.5",
"Men","In Hospital","Jeju","Donation Count[Unit]","Unit","431","504","448","430","379","210","154","31","134","534","1058","1095","1354","1219","1433","2364","3097","3054","3071",
"Men","In Hospital","Jeju","Composition Rate[%]","%","1.7","2.1","2.1","1.9","1.5",".9",".7",".2",".6","2.3","4.1","4.6","5.3","5","5.8","8.1","10.5","10.5","9.4",
"Men","In Hospital","Outside of Korean Red Cross","Donation Count[Unit]","Unit","42088","43762","46408","63398","6693","5149","3577","3239","2813","3100","2899","2848","2350","1859","1580","1373","1385","1171","863",
"Men","In Hospital","Outside of Korean Red Cross","Composition Rate[%]","%","100","100","100","100","8.3","5.1","3.3","2.8","2.2","2.4","2.1","2","1.6","1.4","1.2","1.1","1.1",".8",".5",
"Men","Blood donation house","Total","Donation Count[Unit]","Unit","577214","696014","670332","778251","966989","1064493","1064036","1100656","1199715","1310895","1358667","1254095","1322526","1346154","1314974","1320100","1324947","1343378","1420180",
"Men","Blood donation house","Total","Composition Rate[%]","%","31.5","38.8","42.1","44.7","51.4","56.1","58.3","57.8","58.9","61.3","62.7","60.7","62","63.9","64.6","68.9","69.9","71.6","70.7",
