"Gender","Location","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","Highschool","Total","Composition Rate[%]","%","12.9","14","14.8","14.4","11.1","14","14.3","13.6","13","12.3","11.1","12.7","12.1","11.5","11.7","3.7","5.2","5.8","7",
"Men+Women","Highschool","Korean Red Cross","Donation Count[Unit]","Unit","293838","321625","308519","337228","284924","355296","350917","354586","365062","362898","330823","352432","345367","323622","322619","95807","134550","151435","190641",
"Men+Women","Highschool","Korean Red Cross","Composition Rate[%]","%","13.2","14.3","15.2","14.9","11.6","14.1","14.3","13.9","13.5","12.8","11.5","13.3","12.7","12.1","12.3","3.9","5.5","6.2","7.5",
"Men+Women","Highschool","Central Seoul","Donation Count[Unit]","Unit","20574","19028","18322","14301","10630","20488","","","","","","","","14569","14910","3679","6221","8382","12125",
"Men+Women","Highschool","Central Seoul","Composition Rate[%]","%","9.8","8.6","9.8","6.9","5.1","8.2","","","","","","","","5.5","5.9","1.7","2.9","3.7","5.2",
"Men+Women","Highschool","Western Seoul","Donation Count[Unit]","Unit","14614","17831","16288","17136","11823","4673","22294","23149","27991","34924","26927","23154","18559","","","","","","",
"Men+Women","Highschool","Western Seoul","Composition Rate[%]","%","10.9","12.9","10.5","10","6.1","5.2","8.2","8.2","9.3","10.4","8.1","8","6.7","","","","","","",
"Men+Women","Highschool","Southern Seoul","Donation Count[Unit]","Unit","13351","12289","12056","11966","8161","13203","13786","12118","16690","16809","13324","16102","18440","16657","16875","2550","3276","7810","12916",
"Men+Women","Highschool","Southern Seoul","Composition Rate[%]","%","7.4","6.5","7","6.4","3.9","6","6.3","5.3","7.1","7.3","5.9","7.1","7.5","7.2","7.9","1.3","1.9","4.3","6.6",
"Men+Women","Highschool","Eastern Seoul","Donation Count[Unit]","Unit","21805","26424","29098","32951","28023","35534","33324","34936","30509","31994","30298","26835","26912","25497","24727","2818","5148","8219","11746",
"Men+Women","Highschool","Eastern Seoul","Composition Rate[%]","%","11.2","13.2","16","16.6","13.1","14.3","12.6","12.7","10.3","10.1","10.1","9.8","9.6","9.1","9.5","1.2","2.2","3.4","4.6",
"Men+Women","Highschool","Busan","Donation Count[Unit]","Unit","21341","25000","22661","25697","18207","23982","22395","24580","25739","22080","22400","24835","22798","22086","21751","7026","8547","9591","14198",
"Men+Women","Highschool","Busan","Composition Rate[%]","%","10","11.8","12","12.2","8.4","10.3","10.3","11.2","11.1","9.4","9.4","12.1","10.6","9.9","10.2","3.6","4.4","4.7","6.9",
"Men+Women","Highschool","Daegu/Gyeongbook","Donation Count[Unit]","Unit","33076","34194","30588","34637","31922","34784","35397","37566","37477","36925","31962","36194","35050","33960","27395","7646","11567","13785","17582",
"Men+Women","Highschool","Daegu/Gyeongbook","Composition Rate[%]","%","17","18.1","19.4","18.4","14.8","16.3","16.7","16.6","15.3","14","12.3","15.3","14.6","13.8","11.8","3.9","5.1","6.1","7.7",
"Men+Women","Highschool","Incheon","Donation Count[Unit]","Unit","31133","28184","22134","23664","18343","26880","34595","32602","30307","29723","24770","26219","24107","21747","20129","3226","4085","4882","7540",
"Men+Women","Highschool","Incheon","Composition Rate[%]","%","24.1","23.3","20.1","19.4","14","17.4","19.8","18.8","17","16","13.7","16.2","14.7","13.8","12.7","2","2.4","2.9","4.3",
"Men+Women","Highschool","Ulsan","Donation Count[Unit]","Unit","12898","10543","11314","12519","14360","16527","15532","17131","18428","17547","19737","20625","19986","18465","18323","7270","10115","12883","13849",
"Men+Women","Highschool","Ulsan","Composition Rate[%]","%","16.4","12.8","17.3","17.6","19.4","22.3","21.1","21.7","22.7","19.6","21.1","23.6","23.2","21.3","20","8.8","12.1","14.8","14",
"Men+Women","Highschool","Gyeonggi","Donation Count[Unit]","Unit","16231","25915","24385","26711","23268","30147","31148","24273","25261","27546","26520","28816","26166","19484","22529","5340","5676","8031","10611",
"Men+Women","Highschool","Gyeonggi","Composition Rate[%]","%","11.7","18.3","18.9","18.9","14.1","17.6","17.6","13.8","13.2","13.4","12.1","14","12.4","9.6","10.7","2.4","2.5","3.7","4.7",
"Men+Women","Highschool","Gangwon","Donation Count[Unit]","Unit","5106","4597","5853","6525","7081","11043","13815","12522","13562","15951","15713","14459","14079","14313","14245","2812","3602","4258","6900",
"Men+Women","Highschool","Gangwon","Composition Rate[%]","%","6.1","6","9.1","8.9","8.9","13.2","15","11.6","11.3","12.5","10.5","9.6","9.1","8.9","9.3","2","2.7","3.4","5.2",
"Men+Women","Highschool","Chungbook","Donation Count[Unit]","Unit","13132","13475","14847","18939","17626","17277","13815","16844","16803","15318","16510","16332","15955","14001","15206","5280","8152","7767","8932",
"Men+Women","Highschool","Chungbook","Composition Rate[%]","%","17","17.1","20.4","22.3","17.7","17.1","15.1","16.8","17.1","15.3","16.6","18.3","16.7","14.9","16.1","6.2","9.6","9.3","10.5",
"Men+Women","Highschool","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","20940","29649","30255","32573","22487","33694","33199","34416","35434","37806","34526","38552","36675","38233","38129","11214","18764","19336","21178",
"Men+Women","Highschool","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","13","20.2","20.6","18.8","12.3","17.6","17.5","16.7","15.8","16.3","13.9","16.3","15.2","15.4","15.3","4.7","8","8.2","9",
"Men+Women","Highschool","Jeonbook","Donation Count[Unit]","Unit","22099","23615","19676","20146","21070","22484","19647","21121","21678","15478","17056","19282","20622","20957","21421","12482","15638","14289","13808",
"Men+Women","Highschool","Jeonbook","Composition Rate[%]","%","18.3","19.9","20","18.7","17.4","18","15.7","16.5","16.5","12.3","13.2","16.6","18.1","19.3","19.7","12.1","15.2","14.7","13.8",
