"Daily",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"03.24",15856,22629,18164,22382,18306,21991,17727,17644,23265,24649,19037,15856,22017,21028,17265,21440,14334,12559,16775
"03.25",16195,23516,18053,22602,18553,21551,16860,18757,23717,24006,19376,16195,24270,21405,17777,21261,14586,12689,19121
"03.26",17717,23600,18239,22351,17982,21259,18969,18536,23895,24017,19844,17717,25480,22617,16660,20917,14801,14250,20438
"03.27",18848,24522,18235,22333,18146,24053,20650,17810,24033,24076,19674,18848,27062,21487,16590,20722,16516,15495,19450
"03.28",18470,24611,18079,23061,20354,25245,20160,17517,23998,24468,23456,18470,26288,21626,16210,22211,17480,14323,19330
"03.29",17127,25250,18029,22809,21609,25504,19877,16978,24478,27557,25305,17127,26455,22186,17232,22581,16992,12955,18961
"03.30",17008,26068,18137,23101,21840,24251,20143,16574,28105,29372,25147,17008,25685,23011,19023,21977,16420,12693,18831
"03.31",17070,26271,18610,24265,21597,23797,21177,19513,30176,28370,24401,17070,26701,24452,19545,21302,16338,12611,19142
"04.01",17060,26086,19179,24865,21688,23053,20878,20963,29592,27990,23265,17060,27837,25321,19477,20143,15469,12627,20897
"04.02",17989,26019,19667,25592,22913,22974,22610,20123,29008,26889,22667,17989,27736,24748,18889,19088,15272,14861,21531
"04.03",17870,26831,19733,25737,22752,24028,24705,19358,28713,26775,22303,17870,26833,22707,18176,17510,16497,15496,20050
"04.04",16583,27114,20213,25713,23707,25727,24011,18376,28828,27065,24537,16583,25004,21351,17023,17520,17151,14357,18262
"04.05",15372,25451,20998,26986,25647,25352,23022,18679,29084,29507,25872,15372,23988,20282,16812,17682,16183,13701,16955
"04.06",14163,26779,20892,27429,25460,24031,22244,17997,32071,30664,23898,14163,22151,19889,17237,16308,15073,12863,16035
"04.07",13677,27356,20546,27423,24575,23973,21230,20765,33271,29629,22770,13677,21447,20460,17408,15007,13848,12405,16508
"04.08",13761,27677,21210,27923,24320,22933,20850,21997,33082,29241,21698,13761,21831,20509,16656,14106,13239,12779,18215
"04.09",14529,28010,22225,27234,24546,22775,23106,20507,33102,27737,21217,14529,22285,20509,15367,13830,13424,14335,19141
"04.10",15663,28349,21802,27591,23571,25522,24553,18687,32999,26559,21052,15663,19985,19000,14069,14621,14978,15343,17384
"04.11",14501,28465,22181,28363,25406,26026,23358,18760,32358,27055,23093,14501,18576,18099,13448,16488,15569,13981,15587
"04.12",13724,29330,22807,29990,26572,24964,22270,17973,33597,29086,23098,13724,17506,17704,13556,17250,13866,13725,14862
"04.13",12354,30150,22335,30588,25985,24068,22489,17140,37169,29890,21805,12354,17066,17730,13822,16813,13019,13736,14391
"04.14",12411,30836,23896,29959,25034,24170,22152,19530,37630,29130,19847,12411,17441,18452,14097,15795,12274,13498,14471
"04.15",12896,31303,23474,29436,24432,24567,21772,20255,36749,27475,18837,12896,18252,19233,13407,15606,11438,13503,17112
"04.16",12915,31101,23309,28322,23649,24264,23410,19476,36698,25154,17545,12915,18436,18881,12265,14866,12006,15057,17887
"04.17",12902,31058,23122,27692,23023,25771,24874,18882,35592,23227,16939,12902,17680,17071,11338,14896,14519,16210,15675
"04.18",12394,30857,22764,27375,24422,26145,23025,17935,34523,23323,18991,12394,15890,16014,11057,17409,15604,16520,14124
"04.19",10661,30292,22951,27772,25618,24249,21580,17516,34612,24894,19827,10661,15312,15075,11462,18840,13462,16945,13457
"04.20",10075,29726,22313,28414,23870,23050,19902,17691,36358,25794,18045,10075,14580,15080,12306,18332,11913,17347,13862
"04.21",13612,28695,22254,27783,23977,21449,19113,19497,37276,23992,16140,13612,15407,15851,13854,17312,10803,17169,14325
"04.22",16604,29458,22092,27153,23717,20850,17318,20159,36528,22859,15597,16604,16485,15754,13471,16858,10555,16707,16704
"04.23",18942,29285,22856,26730,23089,19519,19637,18288,34756,22051,15542,18942,15962,14892,11960,16115,11645,19676,17716
"04.24",20301,29451,22789,25995,22493,22166,20962,16999,34288,22208,15619,20301,16727,13405,11029,16639,13503,20616,16655
"04.25",18326,29265,21922,26792,24166,22636,20038,15047,34077,22209,18830,18326,15352,13287,11391,18376,14346,20294,15602
"04.26",18472,28643,22312,27865,25423,21333,18852,14610,34228,24743,19118,18472,15327,14825,13045,18879,13270,20195,14995
"04.27",18476,28360,20887,28496,24973,20943,18647,14851,36889,25934,18304,18476,15606,16364,15044,17751,12137,20062,14326
"04.28",18786,27947,22535,28378,24534,20119,18938,17333,37912,24116,18081,18786,16489,19239,15701,16894,11977,19727,14499
