"Gender","Monthly","Donation Source","Ç×¸ñ","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","January","Jeonbook","Composition Rate[%]","%","6.3","7.3","8.9","7.3","6.7","6.7","7.9","7.3","7.9","8","8.7","8.2","7.4","7.5","8.5","6.8","8.4","7.1","7",
"Men+Women","January","Gwangju/Jeonnaam","Donation Count","Unit","12237","16052","15759","13381","14364","16299","15030","14868","15577","16564","17973","15178","15172","15917","15444","15132","16156","13115","13144",
"Men+Women","January","Gwangju/Jeonnaam","Composition Rate[%]","%","7","8","8.9","6.9","7.1","8.2","7.8","8","7.6","7.6","8.1","7.5","6.9","7.7","7.5","8.3","8.7","6.9","7",
"Men+Women","January","Gyeongnaam","Donation Count","Unit","7125","6829","7767","8701","8900","8730","9937","9179","11311","10965","11820","11652","10255","11562","11941","10285","10656","9007","9747",
"Men+Women","January","Gyeongnaam","Composition Rate[%]","%","7.1","6.7","8.5","8.5","7.8","7.3","8.7","7.6","8.4","7.7","8.7","9.1","7.9","8.6","9","7.8","8.5","7.3","7.6",
"Men+Women","January","Jeju","Donation Count","Unit","2346","1864","1969","2153","2299","3033","2361","2566","2710","2507","2879","2806","2469","2795","2930","2705","3857","3035","3041",
"Men+Women","January","Jeju","Composition Rate[%]","%","7.4","6.3","7.1","6.6","6.2","7.9","6.9","8.1","7.9","6.7","7.1","7.8","6.5","8.2","8.1","6.5","9.2","7.3","6.5",
"Men+Women","January","Outside of Korean Red Cross","Donation Count","Unit","3224","2883","4593","5804","7567","9780","12300","12817","15278","16348","15970","16517","15969","16827","15009","12718","12364","13888","15236",
"Men+Women","January","Outside of Korean Red Cross","Composition Rate[%]","%","6.4","5.6","7.8","7.1","7","6.5","7.3","7.1","7.4","7.8","7.6","7.5","7.5","8.3","8.5","7.2","7","6.8","6.5",
"Men+Women","February","Total","Donation Count","Unit","154943","188463","170432","153589","192395","186366","187051","228658","193958","219573","211203","202169","219624","208722","197949","199657","189312","179817","209081",
"Men+Women","February","Total","Composition Rate[%]","%","6.8","8.2","8.2","6.5","7.5","7","7.1","8.4","6.7","7.2","6.9","7.1","7.5","7.2","7.1","7.6","7.3","6.8","7.5",
"Men+Women","February","Korean Red Cross","Donation Count","Unit","151513","184860","166820","149279","184630","176152","174417","213921","180661","205384","197593","188187","204429","193180","184775","185968","177855","167062","192577",
"Men+Women","February","Korean Red Cross","Composition Rate[%]","%","6.8","8.2","8.2","6.6","7.5","7","7.1","8.4","6.7","7.2","6.9","7.1","7.5","7.2","7.1","7.6","7.3","6.8","7.6",
"Men+Women","February","Central Seoul","Donation Count","Unit","14954","18748","15977","14492","16749","17061","","","","","","","","21466","20152","19338","15957","15484","17500",
"Men+Women","February","Central Seoul","Composition Rate[%]","%","7.1","8.4","8.5","7","8","6.8","","","","","","","","8.1","8","8.7","7.4","6.9","7.5",
"Men+Women","February","Western Seoul","Donation Count","Unit","9854","11299","13131","11096","15634","13351","20925","25159","21148","26129","24246","23895","21820","","","","","","",
"Men+Women","February","Western Seoul","Composition Rate[%]","%","7.4","8.2","8.5","6.5","7.5","14.9","7.7","8.9","7","7.8","7.3","8.2","7.9","","","","","","",
"Men+Women","February","Southern Seoul","Donation Count","Unit","12025","14070","14195","13000","16101","16022","15589","21007","16581","18959","15688","15979","19717","17261","16486","15223","13390","12484","14033",
"Men+Women","February","Southern Seoul","Composition Rate[%]","%","6.6","7.4","8.2","6.9","7.6","7.3","7.2","9.2","7","8.3","7","7","8","7.5","7.7","8","7.6","6.9","7.2",
"Men+Women","February","Eastern Seoul","Donation Count","Unit","12968","17303","18005","12760","14455","16771","20780","24102","20059","24142","21655","21217","23250","22500","19791","19306","17090","16169","19723",
"Men+Women","February","Eastern Seoul","Composition Rate[%]","%","6.6","8.6","9.9","6.4","7.5","6.7","7.8","8.7","6.8","7.7","7.2","7.8","8.3","8.1","7.6","8.3","7.4","6.8","7.7",
"Men+Women","February","Busan","Donation Count","Unit","13478","17608","14027","13844","16250","15164","15130","17367","15169","16542","15905","14026","14158","15671","14340","14597","14390","13041","16068",
"Men+Women","February","Busan","Composition Rate[%]","%","6.3","8.3","7.4","6.6","7.5","6.5","7","7.9","6.6","7","6.7","6.8","6.6","7","6.7","7.4","7.4","6.4","7.8",
"Men+Women","February","Daegu/Gyeongbook","Donation Count","Unit","13673","14838","14233","12041","17169","15204","15169","19317","16292","18176","18616","16956","17997","16506","16014","13270","16217","15293","17965",
"Men+Women","February","Daegu/Gyeongbook","Composition Rate[%]","%","7","7.9","9","6.4","8","7.1","7.2","8.5","6.7","6.9","7.2","7.2","7.5","6.7","6.9","6.8","7.2","6.8","7.8",
"Men+Women","February","Incheon","Donation Count","Unit","9465","10249","9938","8213","9266","9562","12689","14766","11977","12993","13569","11243","13132","11781","11212","12028","12461","13225","14112",
"Men+Women","February","Incheon","Composition Rate[%]","%","7.3","8.5","9","6.7","7.1","6.2","7.3","8.5","6.7","7","7.5","7","8","7.5","7.1","7.3","7.5","7.7","8",
"Men+Women","February","Ulsan","Donation Count","Unit","4277","7562","5157","4526","5553","5188","4700","6675","5689","5853","6181","6350","6204","5613","6086","6106","6211","5543","7542",
"Men+Women","February","Ulsan","Composition Rate[%]","%","5.4","9.2","7.9","6.3","7.5","7","6.4","8.4","7","6.5","6.6","7.3","7.2","6.5","6.6","7.4","7.4","6.4","7.6",
"Men+Women","February","Gyeonggi","Donation Count","Unit","10495","12407","10539","10167","12684","12294","12652","15904","13229","14483","14288","14588","15506","14941","16195","17222","16592","16231","18408",
"Men+Women","February","Gyeonggi","Composition Rate[%]","%","7.6","8.8","8.2","7.2","7.7","7.2","7.2","9","6.9","7","6.5","7.1","7.4","7.3","7.7","7.6","7.4","7.5","8.2",
"Men+Women","February","Gangwon","Donation Count","Unit","6023","7711","5886","5603","5845","5976","5485","8753","9053","9153","9676","10563","12334","12004","10508","10942","10101","8675","9549",
"Men+Women","February","Gangwon","Composition Rate[%]","%","7.2","10.1","9.1","7.6","7.3","7.1","5.9","8.1","7.5","7.2","6.5","7","8","7.4","6.8","7.8","7.5","6.9","7.2",
"Men+Women","February","Chungbook","Donation Count","Unit","4664","6375","5179","4954","6457","6642","6974","6994","5883","6707","6771","5320","6818","6774","6490","6001","6336","5288","6113",
"Men+Women","February","Chungbook","Composition Rate[%]","%","6","8.1","7.1","5.8","6.5","6.6","7.6","7","6","6.7","6.8","6","7.1","7.2","6.9","7","7.5","6.3","7.2",
"Men+Women","February","Daejeon/Sejong/Chungnaam","Donation Count","Unit","11029","10374","12578","11016","13432","12069","13280","15727","13958","16132","16622","15508","16605","16531","15692","17425","16554","15875","16702",
"Men+Women","February","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","6.8","7.1","8.6","6.4","7.3","6.3","7","7.6","6.2","7","6.7","6.6","6.9","6.7","6.3","7.3","7.1","6.7","7.1",
"Men+Women","February","Jeonbook","Donation Count","Unit","7363","7494","7160","6476","7224","8297","8480","9939","8569","8430","7018","7159","8387","7782","7296","6870","7112","6355","6409",
"Men+Women","February","Jeonbook","Composition Rate[%]","%","6.1","6.3","7.3","6","6","6.6","6.8","7.8","6.5","6.7","5.4","6.2","7.3","7.2","6.7","6.7","6.9","6.6","6.4",
"Men+Women","February","Gwangju/Jeonnaam","Donation Count","Unit","11963","18199","12928","12753","15647","12204","12732","15988","12324","14289","15120","14044","15666","13544","13452","14091","13845","12233","14578",
"Men+Women","February","Gwangju/Jeonnaam","Composition Rate[%]","%","6.9","9.1","7.3","6.6","7.8","6.2","6.6","8.6","6","6.6","6.8","6.9","7.1","6.6","6.5","7.7","7.5","6.5","7.7",
"Men+Women","February","Gyeongnaam","Donation Count","Unit","6955","8453","6308","6027","9379","7742","7666","9619","8389","10851","9709","8845","9755","8659","8507","10624","8803","8317","10501",
"Men+Women","February","Gyeongnaam","Composition Rate[%]","%","6.9","8.2","6.9","5.9","8.2","6.5","6.7","8","6.2","7.6","7.2","6.9","7.5","6.4","6.4","8.1","7.1","6.7","8.1",
"Men+Women","February","Jeju","Donation Count","Unit","2327","2170","1579","2311","2785","2605","2166","2604","2341","2545","2529","2494","3080","2147","2554","2925","2796","2849","3374",
"Men+Women","February","Jeju","Composition Rate[%]","%","7.3","7.3","5.7","7.1","7.5","6.8","6.3","8.2","6.8","6.8","6.2","7","8.1","6.3","7.1","7","6.7","6.8","7.2",
